class,n,coverage,mean_set_size
E,4052,0.9817374136229022,1.2788746298124383
Irr,344,0.45058139534883723,1.7296511627906976
S0,643,0.7278382581648523,1.7620528771384136
Sa,12,0.08333333333333333,2.0833333333333335
Sb,636,0.8632075471698113,1.6918238993710693
Sc,362,0.6574585635359116,2.160220994475138
Sd,26,0.46153846153846156,2.3076923076923075
