policy,abstain_fraction,kept_fraction,accuracy,set_size_lt
by_confidence,0.9998353909465021,0.0001646090534979424,1.0,
by_confidence,0.9996707818930041,0.0003292181069958848,1.0,
by_confidence,0.9995061728395062,0.0004938271604938272,1.0,
by_confidence,0.9993415637860082,0.0006584362139917696,1.0,
by_confidence,0.9991769547325103,0.0008230452674897119,1.0,
by_confidence,0.9990123456790123,0.0009876543209876543,1.0,
by_confidence,0.9988477366255144,0.0011522633744855968,1.0,
by_confidence,0.9986831275720165,0.0013168724279835392,1.0,
by_confidence,0.9985185185185185,0.0014814814814814814,1.0,
by_confidence,0.9983539094650206,0.0016460905349794238,1.0,
by_confidence,0.9981893004115227,0.0018106995884773663,1.0,
by_confidence,0.9980246913580247,0.0019753086419753087,1.0,
by_confidence,0.9978600823045267,0.002139917695473251,1.0,
by_confidence,0.9976954732510288,0.0023045267489711935,0.9285714285714286,
by_confidence,0.9975308641975309,0.0024691358024691358,0.9333333333333333,
by_confidence,0.9973662551440329,0.0026337448559670784,0.9375,
by_confidence,0.997201646090535,0.0027983539094650206,0.9411764705882353,
by_confidence,0.997037037037037,0.002962962962962963,0.9444444444444444,
by_confidence,0.9968724279835391,0.0031275720164609055,0.8947368421052632,
by_confidence,0.9967078189300411,0.0032921810699588477,0.9,
by_confidence,0.9965432098765432,0.0034567901234567903,0.8571428571428571,
by_confidence,0.9963786008230453,0.0036213991769547325,0.8636363636363636,
by_confidence,0.9962139917695473,0.0037860082304526747,0.8695652173913043,
by_confidence,0.9960493827160494,0.003950617283950617,0.875,
by_confidence,0.9958847736625515,0.00411522633744856,0.88,
by_confidence,0.9957201646090535,0.004279835390946502,0.8846153846153846,
by_confidence,0.9955555555555555,0.0044444444444444444,0.8888888888888888,
by_confidence,0.9953909465020576,0.004609053497942387,0.8928571428571429,
by_confidence,0.9952263374485597,0.004773662551440329,0.896551724137931,
by_confidence,0.9950617283950617,0.0049382716049382715,0.9,
by_confidence,0.9948971193415638,0.005102880658436214,0.8709677419354839,
by_confidence,0.9947325102880659,0.005267489711934157,0.875,
by_confidence,0.994567901234568,0.005432098765432099,0.8484848484848485,
by_confidence,0.9944032921810699,0.005596707818930041,0.8235294117647058,
by_confidence,0.994238683127572,0.005761316872427984,0.8285714285714286,
by_confidence,0.9940740740740741,0.005925925925925926,0.8333333333333334,
by_confidence,0.9939094650205761,0.006090534979423868,0.8378378378378378,
by_confidence,0.9937448559670782,0.006255144032921811,0.8421052631578947,
by_confidence,0.9935802469135803,0.006419753086419753,0.8205128205128205,
by_confidence,0.9934156378600824,0.006584362139917695,0.825,
by_confidence,0.9932510288065843,0.006748971193415638,0.8292682926829268,
by_confidence,0.9930864197530864,0.006913580246913581,0.8333333333333334,
by_confidence,0.9929218106995885,0.007078189300411522,0.8372093023255814,
by_confidence,0.9927572016460905,0.007242798353909465,0.8409090909090909,
by_confidence,0.9925925925925926,0.007407407407407408,0.8444444444444444,
by_confidence,0.9924279835390947,0.0075720164609053495,0.8478260869565217,
by_confidence,0.9922633744855968,0.007736625514403292,0.851063829787234,
by_confidence,0.9920987654320987,0.007901234567901235,0.8541666666666666,
by_confidence,0.9919341563786008,0.008065843621399177,0.8571428571428571,
by_confidence,0.9917695473251029,0.00823045267489712,0.86,
by_confidence,0.9916049382716049,0.008395061728395062,0.8627450980392157,
by_confidence,0.991440329218107,0.008559670781893004,0.8653846153846154,
by_confidence,0.9912757201646091,0.008724279835390947,0.8679245283018868,
by_confidence,0.9911111111111112,0.008888888888888889,0.8703703703703703,
by_confidence,0.9909465020576131,0.00905349794238683,0.8727272727272727,
by_confidence,0.9907818930041152,0.009218106995884774,0.875,
by_confidence,0.9906172839506173,0.009382716049382716,0.8771929824561403,
by_confidence,0.9904526748971193,0.009547325102880658,0.8793103448275862,
by_confidence,0.9902880658436214,0.009711934156378601,0.8813559322033898,
by_confidence,0.9901234567901235,0.009876543209876543,0.8833333333333333,
by_confidence,0.9899588477366256,0.010041152263374485,0.8852459016393442,
by_confidence,0.9897942386831275,0.010205761316872428,0.8870967741935484,
by_confidence,0.9896296296296296,0.01037037037037037,0.8888888888888888,
by_confidence,0.9894650205761317,0.010534979423868314,0.890625,
by_confidence,0.9893004115226337,0.010699588477366255,0.8923076923076924,
by_confidence,0.9891358024691358,0.010864197530864197,0.8939393939393939,
by_confidence,0.9889711934156379,0.01102880658436214,0.8955223880597015,
by_confidence,0.98880658436214,0.011193415637860082,0.8970588235294118,
by_confidence,0.988641975308642,0.011358024691358024,0.8985507246376812,
by_confidence,0.988477366255144,0.011522633744855968,0.9,
by_confidence,0.9883127572016461,0.01168724279835391,0.9014084507042254,
by_confidence,0.9881481481481481,0.011851851851851851,0.9027777777777778,
by_confidence,0.9879835390946502,0.012016460905349795,0.9041095890410958,
by_confidence,0.9878189300411523,0.012181069958847737,0.8918918918918919,
by_confidence,0.9876543209876543,0.012345679012345678,0.88,
by_confidence,0.9874897119341564,0.012510288065843622,0.881578947368421,
by_confidence,0.9873251028806584,0.012674897119341564,0.8831168831168831,
by_confidence,0.9871604938271605,0.012839506172839505,0.8846153846153846,
by_confidence,0.9869958847736625,0.013004115226337449,0.8860759493670886,
by_confidence,0.9868312757201646,0.01316872427983539,0.8875,
by_confidence,0.9866666666666667,0.013333333333333334,0.8888888888888888,
by_confidence,0.9865020576131687,0.013497942386831276,0.8902439024390244,
by_confidence,0.9863374485596708,0.013662551440329218,0.891566265060241,
by_confidence,0.9861728395061728,0.013827160493827161,0.8928571428571429,
by_confidence,0.9860082304526749,0.013991769547325103,0.8941176470588236,
by_confidence,0.9858436213991769,0.014156378600823045,0.8953488372093024,
by_confidence,0.985679012345679,0.014320987654320988,0.896551724137931,
by_confidence,0.9855144032921811,0.01448559670781893,0.8863636363636364,
by_confidence,0.9853497942386831,0.014650205761316872,0.8876404494382022,
by_confidence,0.9851851851851852,0.014814814814814815,0.8777777777777778,
by_confidence,0.9850205761316873,0.014979423868312757,0.8791208791208791,
by_confidence,0.9848559670781893,0.015144032921810699,0.8804347826086957,
by_confidence,0.9846913580246913,0.015308641975308642,0.8817204301075269,
by_confidence,0.9845267489711934,0.015473251028806584,0.8829787234042553,
by_confidence,0.9843621399176955,0.015637860082304528,0.8842105263157894,
by_confidence,0.9841975308641975,0.01580246913580247,0.8854166666666666,
by_confidence,0.9840329218106996,0.01596707818930041,0.8865979381443299,
by_confidence,0.9838683127572017,0.016131687242798353,0.8877551020408163,
by_confidence,0.9837037037037037,0.016296296296296295,0.8888888888888888,
by_confidence,0.9835390946502057,0.01646090534979424,0.89,
by_confidence,0.9833744855967078,0.016625514403292182,0.8910891089108911,
by_confidence,0.9832098765432099,0.016790123456790124,0.8921568627450981,
by_confidence,0.9830452674897119,0.016954732510288065,0.8932038834951457,
by_confidence,0.982880658436214,0.017119341563786007,0.8942307692307693,
by_confidence,0.9827160493827161,0.01728395061728395,0.8952380952380953,
by_confidence,0.9825514403292182,0.017448559670781894,0.8962264150943396,
by_confidence,0.9823868312757201,0.017613168724279836,0.897196261682243,
by_confidence,0.9822222222222222,0.017777777777777778,0.8981481481481481,
by_confidence,0.9820576131687243,0.01794238683127572,0.8990825688073395,
by_confidence,0.9818930041152263,0.01810699588477366,0.9,
by_confidence,0.9817283950617284,0.018271604938271607,0.9009009009009009,
by_confidence,0.9815637860082305,0.01843621399176955,0.9017857142857143,
by_confidence,0.9813991769547326,0.01860082304526749,0.9026548672566371,
by_confidence,0.9812345679012345,0.018765432098765432,0.9035087719298246,
by_confidence,0.9810699588477366,0.018930041152263374,0.9043478260869565,
