class,n,n_calibration,quantile,degenerate,mondrian_coverage,mondrian_mean_set_size,marginal_coverage,marginal_mean_set_size
E,4052,2701,0.785669565187121,False,0.8938795656465943,3.6251233958538993,0.9817374136229022,1.2788746298124383
Irr,344,229,0.883537371412818,False,0.9098837209302325,4.151162790697675,0.45058139534883723,1.7296511627906976
S0,643,428,0.8786431650558117,False,0.8895800933125972,4.637636080870918,0.7278382581648523,1.7620528771384136
Sa,12,8,inf,True,1.0,5.583333333333333,0.08333333333333333,2.0833333333333335
Sb,636,424,0.8712178545081034,False,0.8962264150943396,4.339622641509434,0.8632075471698113,1.6918238993710693
Sc,362,242,0.883335958433888,False,0.9171270718232044,5.176795580110498,0.6574585635359116,2.160220994475138
Sd,26,17,0.8831280865759142,False,0.8846153846153846,5.0,0.46153846153846156,2.3076923076923075
