model,n,accuracy,macro_f1,cohen_kappa,interpretability_cost,interpretability_kind,note
galaxycbm_symbolic,6075,0.7871604938271605,0.46211641313952734,0.5709211666327354,153,intrinsic,
dense_linear_cbm,6075,0.7866666666666666,0.4573732973686548,0.5718907321945217,273,intrinsic,
xgboost_concepts,6075,0.7861728395061729,0.4500245305406388,0.5702540902625834,39,post-hoc-required,
endtoend_convnext,6075,0.8016460905349794,0.4484878939203015,0.6013732423951819,14957047,black-box,
